Course ID,Course Name
4.175,Case Studies in City Form
4.241,Theory of City Form
4.42,Fundamentals of Energy in Buildings
4.163,Urban Design Studio: Providence
MAS.110,Fundamentals of Computational Media Design
MAS.111,Introduction to Doing Research in Media Arts and iences
MAS.131,Computational Camera and Photography
MAS.160,"Signals, Systems and Information for Media Technology"
MAS.330,"Design Across ales, Diiplines and Problem Contexts"
MAS.450,Holographic Imaging
MAS.965,NextLab I: Designing Mobile Technologies for the Next Billion Users
MAS.478,Special Topics in Multimedia Production: Experiences in Interactive Art
MAS.510,"Signals, Systems and Information for Media Technology"
MAS.511,"Signals, Systems and Information for Media Technology"
MAS.531,Computational Camera and Photography
MAS.622,Pattern Recognition and Analysis
MAS.630,Affective Computing
MAS.632,Conversational Computer Systems
MAS.666,Developmental Entrepreneurship
MAS.712,How to Learn (Almost) Anything
MAS.714,Technologies for Creative Learning
MAS.742,Industrial Design Intelligence: A Cognitive Approach to Engineering
MAS.771,Autism Theory and Technology
MAS.836,Sensor Technologies for Interactive Environments
MAS.845,Special Topics in Cinematic Storytelling
MAS.857,Optical Engineering
MAS.863,How to Make (Almost) Anything
MAS.865,Quantum Information ience
MAS.878,Special Topics in Multimedia Production: Experiences in Interactive Art
MAS.961,"Networks, Complexity and Its Applications"
MAS.961,Special Topics: Designing Sociable Media
MAS.961,Ambient Intelligence
MAS.961,Seminar on Deep Engagement
MAS.961,Numeric Photography
MAS.962,Special Topics: New Textiles
MAS.962,Common Sense Reasoning for Interactive Applications
MAS.962,The Nature of Constructionist Learning
MAS.962,Special Topics in Media Technology: Computational Semantics
MAS.962,Digital Typography
MAS.963,Technological Tools for hool Reform
MAS.963,Techno-identity: Who we are and how we perceive ourselves and others
MAS.963,"Out of Context: A Course on Computer Systems That Adapt To, and Learn From, Context"
MAS.964,Common Sense Reasoning for Interactive Applications
MAS.965,Relational Machines
MAS.965,Social Visualization
MAS.965,Special Topics in Media Technology: Cooperative Machines
MAS.966,Digital Anthropology
MAS.S63,Engineering Health: Towards the Tricorder
MAS.S66,"Indistinguishable From... Magic as Interface, Technology, and Tradition"
11.001,Introduction to Urban Design and Development
11.002,Making Public Policy
11.005,Introduction to International Development
11.007,Resolving Public Disputes
11.011,The Art and ience of Negotiation
11.013,American Urban History I
11.014,American Urban History II
11.016,The Once and Future City
11.025,D-Lab I: Development
11.123,Big Plans and Mega-Urban Landapes
11.124,Introduction to Education: Looking Forward and Looking Back on Education
11.126,Economics of Education
11.128,Information Technology and the Labor Market
11.139,The City in Film
11.165,Infrastructure and Energy Technology Challenges
11.201,Gateway to the Profession of Planning
11.202,Planning Economics
11.203,Microeconomics
11.22,Quantitative Reasoning & Statistical Methods for Planners I
11.301,Introduction to Urban Design and Development
11.302,Urban Design Politics
11.304,Site and Infrastructure Systems Planning
11.307,Beiing Urban Design Studio
11.328,"Urban Design Skills: Observing, Interpreting, and Representing the City"
11.33,Theory of City Form
11.364,International Environmental Negotiation
11.366,Planning for Sustainable Development
11.401,"Introduction to Housing, Community, and Economic Development"
11.431,Real Estate Finance and Investment
11.433,Real Estate Economics
11.479,Water and Sanitation Infrastructure in Developing Countries
11.481,Analyzing and Accounting for Regional Economic Growth
11.483,Housing and Land Use in Rapidly Urbanizing Regions
11.52,A Workshop on Geographic Information Systems
11.521,Spatial Database Management and Advanced Geographic Information Systems
11.54,Urban Transportation Planning
11.545,Transportation Systems Analysis: Demand and Economics
11.941,Urban Climate Adaptation
11.S945,Urbanizing China: A Reflective Dialogue
16,Introduction to Aerospace Engineering and Design
16.00A,"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design"
16.01-16.04,"Unified Engineering I, II, III, & IV"
16.05,Thermal Energy
16.06,Principles of Automatic Control
16.07,Dynamics
16.1,Aerodynamics
16.2,Structural Mechanics
16.3,Feedback Control Systems
16.5,Introduction to Propulsion Systems
16.66,Introduction to Lean Six Sigma Methods
16.83X,Space Systems Engineering
16.901,Computational Methods in Aerospace Engineering
16.12,Compressible Flow
16.225,Computational Mechanics of Materials
16.323,Principles of Optimal Control
16.333,Aircraft Stability and Control
16.346,Astrodynamics
16.412,Cognitive Robotics
16.423,Aerospace Biomedical and Life Support Engineering
16.512,Rocket Propulsion
16.522,Space Propulsion
16.72,Air Traffic Control
16.75,Airline Management
16.842,Fundamentals of Systems Engineering
16.851,Satellite Engineering
16.852,Integrating the Lean Enterprise
16.885,Aircraft Systems Engineering
16.891,Space Policy Seminar
20.01,Introduction to Bioengineering (BE.010)
20.02,Introduction to Biological Engineering Design
20.109,Laboratory Fundamentals in Biological Engineering
20.11,Thermodynamics of Biomolecular Systems
20.309,Biological Engineering II: Instrumentation and Measurement
20.32,Analysis of Biomolecular and Cellular Systems
20.33,"Fields, Forces and Flows in Biological Systems"
20.38,Biological Engineering Design
20.39,Foundations of Computational and Systems Biology
20.201,Mechanisms of Drug Actions
20.203,Neurotechnology in Action
